lat_cell,lon_cell,continent,n_rec,S_obs,S_rare10,Acoustic_Complexity_Index__mean,Acoustic_Diversity_Index__main_value,Acoustic_Evenness_Index__main_value,Bio_acoustic_Index__main_value,Normalized_Difference_Sound_Index__main_value,Spectral_Entropy__main_value,Temporal_Entropy__main_value,NB_peaks__main_value,Acoustic_Diversity_Index_NR__main_value,Bio_acoustic_Index_NR__main_value,Spectral_Entropy_NR__main_value
-3.4,29.3,africa,45,30,14.975,167.3504984323859,1.7957522160612376,0.36912086093665875,13.386703688195169,0.734450357988358,0.8061974366890684,0.9283926653515664,4.466666666666667,1.828075223442508,14.917552763558684,0.7833885736618202
-0.4,37.3,africa,155,58,10.744,166.37548292495387,1.7887975475036955,0.34608201050959553,10.969382050094358,0.7763972394724162,0.7617629297007864,0.93962684648351,3.858064516129032,1.8147228716424306,12.14794948888588,0.7319151762088857
-23.0,29.6,africa,194,51,9.105,163.27106726276932,1.5877796177545827,0.45483728511699945,12.878395984578683,0.4353986668047482,0.7531994411186832,0.9333113740664257,3.2010309278350517,1.6078912210002905,14.491583206812786,0.7109893025533852
-3.6,29.4,africa,13,12,9.65,165.93975532505522,1.6376466896196833,0.4502255922806175,18.679953882175678,0.840075890556021,0.7383903452585667,0.908409439287981,4.076923076923077,1.6806141640588512,20.490636262916972,0.7014554822300407
23.8,-14.6,africa,1,1,,155.16170255434338,1.0936415135527915,0.6950741402065062,5.474776300472706,-0.973570377063101,0.6331630549556055,0.9516989102578731,1.0,1.169603520466396,6.5166871173102345,0.5488045324932493
-2.8,20.2,africa,113,68,10.843,156.6814126390812,2.023641197529452,0.1298480217686677,9.278180822495766,0.8513559752184892,0.8440405234286984,0.9840453806325824,7.699115044247788,1.9680043491735135,11.67561101259831,0.8253252884524382
-1.1,29.7,africa,34,29,9.599,160.66678974589877,2.043028305359272,0.1080952369357625,8.626729112336028,0.8326788462470524,0.866726762466155,0.9781481971943393,7.705882352941177,2.012696095983066,13.016448289349583,0.8460723150840539
-21.3,47.3,africa,6,6,,156.0187635257971,1.6223736914789597,0.4711639703653119,7.7393460083193775,0.8491546519415007,0.8254960901226164,0.9469457607782998,2.8333333333333335,1.6971446805394013,9.781361434532938,0.7555416393272418
-1.7,29.5,africa,12,10,8.636,171.12011909769998,1.8652223876174754,0.2903620405949236,10.3916463344461,0.7576241912551946,0.844451890471125,0.9383761961703915,5.083333333333333,1.9126292235432059,11.504955168044615,0.7899129322760959
-3.2,29.5,africa,57,32,11.866,162.22220779966048,1.763769936675201,0.3779669424734449,13.657424444176767,0.8183296827418798,0.7908892521029027,0.9511311396846671,3.719298245614035,1.7607458976198196,16.475924583829137,0.7527271403024938
-14.8,26.3,africa,277,89,9.837,162.06023598229382,1.6978879654080914,0.39616933825807915,11.980130533526907,0.22061474148361143,0.7616081093821697,0.9438364512705639,4.061371841155235,1.7239573020746397,12.973506715621028,0.7232405938948238
-0.6,34.4,africa,10,8,8.0,168.09103776076367,2.0322841049753637,0.14532359352616395,8.45639115224281,0.6635410210501945,0.8472516173692961,0.9661863713321471,4.5,2.003041623959495,9.64628497903074,0.8183147291911276
0.9,21.1,africa,2,2,,158.28183723001223,1.522529923684124,0.5414982784085861,11.234760078970355,-0.29573388522477423,0.6889391238478924,0.9566366774895319,4.0,1.5389515705091208,11.413623455131873,0.6680514682724494
0.3,30.0,africa,67,18,6.751,158.41322963110034,1.7560320209804017,0.36671709793600876,11.977552181849239,0.3766857862429688,0.7594172456614281,0.9662711512559705,3.582089552238806,1.7729563619941655,12.819247932753072,0.7321410889434234
-24.4,31.7,africa,4,7,,174.4213148338033,1.8605500959036116,0.33459513791456647,10.01888760914038,0.9898117936522551,0.8167608783945024,0.9118294374589032,2.25,1.9065084711976632,11.048337063840705,0.7947571756210523
0.2,34.8,africa,157,61,10.317,162.345750878003,1.717633228499598,0.3624926497446554,9.96005347073643,0.727718593546631,0.7578565659228902,0.9467045318358479,3.8152866242038215,1.7465193617988244,10.368697271846358,0.7279914550781549
-25.0,31.7,africa,3,4,,155.15427875570592,1.6910373303635318,0.38494949462647265,6.331676814879313,-0.2408803263582077,0.824248755644471,0.9653001242329667,2.0,1.679021524544592,8.119973847635775,0.7667868276070533
13.9,-14.9,africa,1,1,,170.87028679368757,2.070681203946409,0.07326904916583499,8.563719865726465,0.8427628378780692,0.8661700116200813,0.9656961509205558,7.0,1.9329809041866206,8.09769818686509,0.8625289504381847
